ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3
91902_00000_472658,Ballot 18 - Type 18,Early Voting,Judicial District 3,Judicial,District 17 - Early Voting,District 17 - Early Voting,Region I,"Fields, William Z. ""Zack""","Drummond, Harriet A.",skipped
93600_00030_000001,Ballot 18 - Type 18,Early Voting,Judicial District 3,Judicial,District 17 - Early Voting,District 17 - Early Voting,Region III,"Fields, William Z. ""Zack""",skipped,skipped
93600_00030_000002,Ballot 18 - Type 18,Early Voting,Judicial District 3,Judicial,District 17 - Early Voting,District 17 - Early Voting,Region III,"Fields, William Z. ""Zack""",skipped,skipped
92607_00009_000001,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92607_00009_000002,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92607_00009_000003,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92607_00009_000004,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92607_00009_000005,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92607_00009_000006,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92607_00009_000007,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92607_00009_000008,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92607_00009_000009,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92607_00009_000010,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92607_00009_000011,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92607_00009_000012,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92506_00009_000001,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92506_00009_000002,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92506_00009_000003,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92506_00009_000004,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000001,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000002,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000003,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000004,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000005,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000006,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000007,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000008,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000009,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000010,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000011,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000012,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000013,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000014,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000015,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000016,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000017,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000018,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000019,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000020,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000021,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000022,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000023,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000024,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000025,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000026,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000027,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000028,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000029,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000030,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000031,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000032,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000033,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000034,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000035,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000036,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
92403_00013_000037,Ballot 18 - Type 18,Question,Judicial District 3,Judicial,District 17  - Question,District 17  - Question,Region II,skipped,skipped,skipped
