ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3
91910_00000_218042,Ballot 8 - Type 8,Early Voting,Judicial District 3,Judicial,District 7 - Early Voting,District 7 - Early Voting,Region I,"Gillham, Ronald D. ""Ron""",skipped,skipped
07020_00000_003656,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Ruffridge, Justin",skipped,skipped
07020_00000_005289,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""",skipped,skipped
07020_00000_006490,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Ruffridge, Justin",skipped,skipped
07020_00000_008973,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""",skipped,skipped
07020_00000_009337,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Ruffridge, Justin",skipped,skipped
07020_00000_010145,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""",skipped,skipped
07020_00000_011881,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,Write-in,skipped,skipped
07020_00000_012767,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""","Ruffridge, Justin",skipped
07020_00000_013024,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Ruffridge, Justin",skipped,skipped
07020_00000_017352,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""","Ruffridge, Justin",skipped
07020_00000_018278,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Ruffridge, Justin",skipped,skipped
07020_00000_023480,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""","Ruffridge, Justin",skipped
07020_00000_024219,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Ruffridge, Justin","Gillham, Ronald D. ""Ron""",skipped
07020_00000_025923,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Ruffridge, Justin","Gillham, Ronald D. ""Ron""",skipped
07020_00000_026347,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Ruffridge, Justin","Gillham, Ronald D. ""Ron""",skipped
07020_00000_029166,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Ruffridge, Justin",Write-in,skipped
07020_00000_030312,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""",skipped,skipped
07020_00000_031757,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Ruffridge, Justin",skipped,skipped
07020_00000_032228,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""","Ruffridge, Justin",skipped
07020_00000_034891,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Ruffridge, Justin",skipped,skipped
07020_00000_042546,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Ruffridge, Justin",skipped,skipped
07020_00000_045860,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Ruffridge, Justin","Gillham, Ronald D. ""Ron""",skipped
07020_00000_046471,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,skipped,skipped,skipped
07020_00000_048904,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""","Ruffridge, Justin",skipped
07020_00000_049013,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""",skipped,skipped
07020_00000_050524,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Ruffridge, Justin",skipped,skipped
07020_00000_051278,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,skipped,skipped,skipped
07020_00000_053302,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""",skipped,skipped
07020_00000_054767,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""","Ruffridge, Justin",skipped
07020_00000_055831,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Ruffridge, Justin","Gillham, Ronald D. ""Ron""",skipped
07020_00000_057695,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""",skipped,skipped
07020_00000_062914,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""","Ruffridge, Justin",skipped
07020_00000_065732,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Ruffridge, Justin",skipped,skipped
07020_00000_067003,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Ruffridge, Justin",skipped,skipped
07020_00000_068850,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""",skipped,skipped
07020_00000_069421,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""",skipped,skipped
07020_00000_070074,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""",skipped,skipped
07020_00000_071628,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Ruffridge, Justin",skipped,skipped
07020_00000_072891,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""",skipped,skipped
07020_00000_077185,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""",skipped,skipped
07020_00000_079362,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Ruffridge, Justin",skipped,skipped
07020_00000_081904,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""","Ruffridge, Justin",skipped
07020_00000_082860,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""",skipped,skipped
07020_00000_086513,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""",skipped,skipped
07020_00000_087471,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""","Ruffridge, Justin",skipped
07020_00000_088742,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""","Ruffridge, Justin",skipped
07020_00000_090490,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Ruffridge, Justin",skipped,skipped
07020_00000_093337,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""",skipped,skipped
07020_00000_094943,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""",Write-in,"Ruffridge, Justin"
07020_00000_096156,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""",skipped,skipped
07020_00000_102611,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Ruffridge, Justin","Gillham, Ronald D. ""Ron""",skipped
07020_00000_105938,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""",skipped,skipped
07020_00000_109122,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Ruffridge, Justin",skipped,skipped
07020_00000_110049,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""",skipped,skipped
07020_00000_111630,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""","Ruffridge, Justin",skipped
07020_00000_113263,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Ruffridge, Justin",skipped,skipped
07020_00000_114577,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""","Ruffridge, Justin",skipped
07020_00000_115396,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""",skipped,skipped
07020_00000_124998,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""","Ruffridge, Justin",skipped
07020_00000_126172,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Ruffridge, Justin","Gillham, Ronald D. ""Ron""",skipped
07020_00000_127284,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""","Ruffridge, Justin",skipped
07020_00000_128601,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""","Ruffridge, Justin",skipped
07020_00000_129715,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""",skipped,skipped
07020_00000_131806,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Ruffridge, Justin",skipped,skipped
07020_00000_133039,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Ruffridge, Justin",skipped,skipped
07020_00000_134640,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Ruffridge, Justin",skipped,skipped
07020_00000_135567,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Gillham, Ronald D. ""Ron""",skipped,skipped
07020_00000_136253,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,skipped,skipped,skipped
07020_00000_141469,Ballot 8 - Type 8,Election Day,Judicial District 3,Judicial,07-020 Kenai No. 2,07-020 Kenai No. 2,Region V,"Ruffridge, Justin","Gillham, Ronald D. ""Ron""",skipped
