precinct,rank1,rank2,rank3
MINNEAPOLIS W-13 P-06,Brad Bourn,Bob Fine,Jennifer Zielinski
MINNEAPOLIS W-10 P-06,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-13 P-06,Bob Fine,Brad Bourn,skipped
MINNEAPOLIS W-13 P-11,Brad Bourn,Bob Fine,"Robert M Schlosser ""Bob"""
MINNEAPOLIS W-8 P-07,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-04,skipped,skipped,skipped
MINNEAPOLIS W-13 P-13,Brad Bourn,skipped,skipped
MINNEAPOLIS W-11 P-02,Brad Bourn,Jennifer Zielinski,Bob Fine
MINNEAPOLIS W-13 P-01,Bob Fine,skipped,skipped
MINNEAPOLIS W-10 P-04,Brad Bourn,skipped,skipped
MINNEAPOLIS W-11 P-02,Brad Bourn,Bob Fine,Jennifer Zielinski
MINNEAPOLIS W-13 P-04,Brad Bourn,Jennifer Zielinski,"Robert M Schlosser ""Bob"""
MINNEAPOLIS W-13 P-07,Bob Fine,Brad Bourn,skipped
MINNEAPOLIS W-13 P-04,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-07,Bob Fine,skipped,skipped
MINNEAPOLIS W-13 P-13,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-13 P-01,Bob Fine,Brad Bourn,skipped
MINNEAPOLIS W-8 P-06,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-13 P-05,Bob Fine,Brad Bourn,skipped
MINNEAPOLIS W-13 P-10,Bob Fine,skipped,skipped
MINNEAPOLIS W-13 P-11,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-05,Brad Bourn,"Robert M Schlosser ""Bob""",Jennifer Zielinski
MINNEAPOLIS W-11 P-01,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-12,Brad Bourn,skipped,skipped
MINNEAPOLIS W-11 P-02,Jennifer Zielinski,Bob Fine,Brad Bourn
MINNEAPOLIS W-8 P-02,Bob Fine,skipped,skipped
MINNEAPOLIS W-8 P-02,Brad Bourn,writein,writein
MINNEAPOLIS W-11 P-02,Bob Fine,skipped,skipped
MINNEAPOLIS W-13 P-13,Jennifer Zielinski,skipped,skipped
MINNEAPOLIS W-13 P-08,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-02,Bob Fine,Jennifer Zielinski,Brad Bourn
MINNEAPOLIS W-13 P-09,Jennifer Zielinski,Bob Fine,"Robert M Schlosser ""Bob"""
MINNEAPOLIS W-11 P-02,Brad Bourn,skipped,skipped
MINNEAPOLIS W-10 P-05A,Bob Fine,Brad Bourn,skipped
MINNEAPOLIS W-13 P-10,skipped,skipped,skipped
MINNEAPOLIS W-8 P-07,writein,skipped,skipped
MINNEAPOLIS W-13 P-01,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-8 P-06,Brad Bourn,skipped,skipped
MINNEAPOLIS W-10 P-04,Brad Bourn,Bob Fine,Jennifer Zielinski
MINNEAPOLIS W-8 P-06,Brad Bourn,skipped,skipped
MINNEAPOLIS W-11 P-02,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-10 P-05A,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-8 P-02,Bob Fine,Brad Bourn,skipped
MINNEAPOLIS W-13 P-01,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-8 P-07,Bob Fine,Brad Bourn,"Robert M Schlosser ""Bob"""
MINNEAPOLIS W-8 P-07,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-10 P-06,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-13 P-10,Bob Fine,skipped,skipped
MINNEAPOLIS W-13 P-10,Brad Bourn,Bob Fine,"Robert M Schlosser ""Bob"""
MINNEAPOLIS W-10 P-05A,"Robert M Schlosser ""Bob""",Jennifer Zielinski,Bob Fine
MINNEAPOLIS W-8 P-07,Brad Bourn,skipped,skipped
MINNEAPOLIS W-10 P-06,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-13 P-05,Brad Bourn,skipped,skipped
MINNEAPOLIS W-11 P-02,skipped,skipped,skipped
MINNEAPOLIS W-13 P-03,Bob Fine,skipped,skipped
MINNEAPOLIS W-13 P-11,Bob Fine,Jennifer Zielinski,skipped
MINNEAPOLIS W-13 P-08,Bob Fine,Brad Bourn,skipped
MINNEAPOLIS W-8 P-07,"Robert M Schlosser ""Bob""",Jennifer Zielinski,Brad Bourn
MINNEAPOLIS W-11 P-01,Brad Bourn,"Robert M Schlosser ""Bob""",writein
MINNEAPOLIS W-11 P-03,Brad Bourn,"Robert M Schlosser ""Bob""",Jennifer Zielinski
MINNEAPOLIS W-10 P-05A,skipped,skipped,skipped
MINNEAPOLIS W-13 P-07,Bob Fine,skipped,skipped
MINNEAPOLIS W-13 P-05,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-13 P-13,Brad Bourn,skipped,skipped
MINNEAPOLIS W-8 P-02,Bob Fine,Jennifer Zielinski,"Robert M Schlosser ""Bob"""
MINNEAPOLIS W-13 P-03,Jennifer Zielinski,Brad Bourn,"Robert M Schlosser ""Bob"""
MINNEAPOLIS W-13 P-13,Brad Bourn,Jennifer Zielinski,"Robert M Schlosser ""Bob"""
MINNEAPOLIS W-13 P-06,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-07,Bob Fine,skipped,skipped
MINNEAPOLIS W-13 P-04,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-06,skipped,skipped,skipped
MINNEAPOLIS W-13 P-09,Brad Bourn,Bob Fine,"Robert M Schlosser ""Bob"""
MINNEAPOLIS W-10 P-04,skipped,skipped,skipped
MINNEAPOLIS W-10 P-05A,Brad Bourn,skipped,skipped
MINNEAPOLIS W-8 P-06,skipped,skipped,skipped
MINNEAPOLIS W-13 P-01,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-05,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-06,Jennifer Zielinski,Bob Fine,skipped
MINNEAPOLIS W-10 P-06,Bob Fine,Brad Bourn,skipped
MINNEAPOLIS W-10 P-06,Bob Fine,skipped,skipped
MINNEAPOLIS W-8 P-01,Jennifer Zielinski,Bob Fine,Brad Bourn
MINNEAPOLIS W-13 P-07,Brad Bourn,"Robert M Schlosser ""Bob""",skipped
MINNEAPOLIS W-8 P-02,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-01,skipped,skipped,skipped
MINNEAPOLIS W-13 P-06,Brad Bourn,Brad Bourn,Bob Fine
MINNEAPOLIS W-13 P-13,Bob Fine,skipped,skipped
MINNEAPOLIS W-13 P-05,Brad Bourn,Bob Fine,Jennifer Zielinski
MINNEAPOLIS W-11 P-01,Brad Bourn,skipped,skipped
MINNEAPOLIS W-10 P-04,Brad Bourn,skipped,skipped
MINNEAPOLIS W-8 P-02,Brad Bourn,Bob Fine,"Robert M Schlosser ""Bob"""
MINNEAPOLIS W-13 P-06,Brad Bourn,"Robert M Schlosser ""Bob""",Jennifer Zielinski
MINNEAPOLIS W-13 P-02,Bob Fine,skipped,skipped
MINNEAPOLIS W-11 P-02,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-8 P-07,Jennifer Zielinski,Brad Bourn,Bob Fine
MINNEAPOLIS W-11 P-02,Brad Bourn,Jennifer Zielinski,Bob Fine
MINNEAPOLIS W-13 P-01,Bob Fine,Brad Bourn,skipped
MINNEAPOLIS W-13 P-07,Bob Fine,Brad Bourn,skipped
MINNEAPOLIS W-11 P-01,Brad Bourn,"Robert M Schlosser ""Bob""",Jennifer Zielinski
MINNEAPOLIS W-13 P-11,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-13 P-09,Bob Fine,skipped,skipped
MINNEAPOLIS W-11 P-02,skipped,skipped,skipped
MINNEAPOLIS W-10 P-06,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-13 P-08,Bob Fine,skipped,skipped
MINNEAPOLIS W-11 P-02,Brad Bourn,Bob Fine,Jennifer Zielinski
MINNEAPOLIS W-13 P-10,Bob Fine,Bob Fine,skipped
MINNEAPOLIS W-8 P-01,Brad Bourn,Jennifer Zielinski,"Robert M Schlosser ""Bob"""
MINNEAPOLIS W-10 P-06,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-05,Bob Fine,Brad Bourn,skipped
MINNEAPOLIS W-13 P-03,Jennifer Zielinski,skipped,skipped
MINNEAPOLIS W-13 P-05,Bob Fine,skipped,skipped
MINNEAPOLIS W-11 P-02,Bob Fine,Brad Bourn,skipped
MINNEAPOLIS W-11 P-03,skipped,skipped,skipped
MINNEAPOLIS W-13 P-08,Bob Fine,skipped,skipped
MINNEAPOLIS W-11 P-03,Bob Fine,Brad Bourn,skipped
MINNEAPOLIS W-13 P-07,Brad Bourn,skipped,skipped
MINNEAPOLIS W-8 P-07,Brad Bourn,skipped,skipped
MINNEAPOLIS W-10 P-04,"Robert M Schlosser ""Bob""",Brad Bourn,Jennifer Zielinski
MINNEAPOLIS W-13 P-05,skipped,skipped,skipped
MINNEAPOLIS W-13 P-08,"Robert M Schlosser ""Bob""",skipped,skipped
MINNEAPOLIS W-13 P-12,Bob Fine,Jennifer Zielinski,skipped
MINNEAPOLIS W-13 P-11,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-8 P-01,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-09,Bob Fine,Brad Bourn,skipped
MINNEAPOLIS W-8 P-02,skipped,skipped,skipped
MINNEAPOLIS W-8 P-02,skipped,skipped,skipped
MINNEAPOLIS W-13 P-08,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-07,Bob Fine,Brad Bourn,Jennifer Zielinski
MINNEAPOLIS W-13 P-05,Bob Fine,Jennifer Zielinski,"Robert M Schlosser ""Bob"""
MINNEAPOLIS W-13 P-06,Bob Fine,skipped,skipped
MINNEAPOLIS W-13 P-03,Bob Fine,skipped,skipped
MINNEAPOLIS W-11 P-03,Jennifer Zielinski,skipped,skipped
MINNEAPOLIS W-8 P-01,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-10 P-04,Brad Bourn,Bob Fine,Jennifer Zielinski
MINNEAPOLIS W-13 P-06,Brad Bourn,Bob Fine,Jennifer Zielinski
MINNEAPOLIS W-13 P-13,Brad Bourn,skipped,skipped
MINNEAPOLIS W-11 P-01,Bob Fine,skipped,skipped
MINNEAPOLIS W-13 P-12,Bob Fine,skipped,skipped
MINNEAPOLIS W-8 P-02,Bob Fine,"Robert M Schlosser ""Bob""",skipped
MINNEAPOLIS W-8 P-07,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-09,Jennifer Zielinski,Bob Fine,Brad Bourn
MINNEAPOLIS W-8 P-02,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-8 P-07,skipped,skipped,skipped
MINNEAPOLIS W-13 P-08,Bob Fine,skipped,skipped
MINNEAPOLIS W-8 P-07,Brad Bourn,skipped,skipped
MINNEAPOLIS W-11 P-03,Bob Fine,skipped,skipped
MINNEAPOLIS W-13 P-12,Bob Fine,"Robert M Schlosser ""Bob""",Jennifer Zielinski
MINNEAPOLIS W-13 P-03,Bob Fine,Brad Bourn,skipped
MINNEAPOLIS W-10 P-05A,Brad Bourn,skipped,skipped
MINNEAPOLIS W-8 P-07,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-06,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-13 P-10,skipped,skipped,skipped
MINNEAPOLIS W-8 P-06,Brad Bourn,skipped,skipped
MINNEAPOLIS W-8 P-07,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-13 P-05,Bob Fine,Jennifer Zielinski,skipped
MINNEAPOLIS W-13 P-08,Jennifer Zielinski,"Robert M Schlosser ""Bob""",skipped
MINNEAPOLIS W-8 P-06,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-06,Bob Fine,Brad Bourn,skipped
MINNEAPOLIS W-8 P-06,Brad Bourn,skipped,skipped
MINNEAPOLIS W-8 P-06,Bob Fine,Brad Bourn,Jennifer Zielinski
MINNEAPOLIS W-13 P-03,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-11 P-01,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-11 P-01,Bob Fine,Jennifer Zielinski,skipped
MINNEAPOLIS W-13 P-05,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-8 P-07,skipped,skipped,skipped
MINNEAPOLIS W-13 P-02,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-04,Bob Fine,Jennifer Zielinski,"Robert M Schlosser ""Bob"""
MINNEAPOLIS W-13 P-05,Bob Fine,Brad Bourn,"Robert M Schlosser ""Bob"""
MINNEAPOLIS W-13 P-13,skipped,skipped,skipped
MINNEAPOLIS W-13 P-01,Jennifer Zielinski,skipped,skipped
MINNEAPOLIS W-11 P-01,skipped,skipped,skipped
MINNEAPOLIS W-10 P-04,Brad Bourn,writein,Bob Fine
MINNEAPOLIS W-13 P-07,Brad Bourn,skipped,skipped
MINNEAPOLIS W-8 P-06,Bob Fine,Brad Bourn,skipped
MINNEAPOLIS W-8 P-07,skipped,skipped,skipped
MINNEAPOLIS W-10 P-06,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-04,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-08,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-13 P-03,Bob Fine,Brad Bourn,Jennifer Zielinski
MINNEAPOLIS W-13 P-06,Bob Fine,skipped,skipped
MINNEAPOLIS W-13 P-06,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-11 P-03,Jennifer Zielinski,"Robert M Schlosser ""Bob""",Brad Bourn
MINNEAPOLIS W-8 P-07,"Robert M Schlosser ""Bob""",skipped,skipped
MINNEAPOLIS W-10 P-04,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-10 P-05A,Bob Fine,Brad Bourn,"Robert M Schlosser ""Bob"""
MINNEAPOLIS W-13 P-09,Bob Fine,skipped,skipped
MINNEAPOLIS W-13 P-07,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-11,Brad Bourn,Bob Fine,Jennifer Zielinski
MINNEAPOLIS W-8 P-07,skipped,skipped,skipped
MINNEAPOLIS W-8 P-02,skipped,skipped,skipped
MINNEAPOLIS W-13 P-07,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-04,Bob Fine,Brad Bourn,writein
MINNEAPOLIS W-13 P-12,Bob Fine,skipped,skipped
MINNEAPOLIS W-8 P-06,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-13,Bob Fine,Brad Bourn,skipped
MINNEAPOLIS W-11 P-01,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-06,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-13 P-09,Brad Bourn,"Robert M Schlosser ""Bob""",Jennifer Zielinski
MINNEAPOLIS W-13 P-06,Brad Bourn,Jennifer Zielinski,skipped
MINNEAPOLIS W-8 P-07,Jennifer Zielinski,"Robert M Schlosser ""Bob""",Brad Bourn
MINNEAPOLIS W-13 P-05,Bob Fine,skipped,skipped
MINNEAPOLIS W-11 P-02,Bob Fine,skipped,skipped
MINNEAPOLIS W-8 P-07,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-06,Brad Bourn,Bob Fine,Jennifer Zielinski
MINNEAPOLIS W-13 P-06,Bob Fine,skipped,skipped
MINNEAPOLIS W-8 P-06,Brad Bourn,"Robert M Schlosser ""Bob""",Bob Fine
MINNEAPOLIS W-11 P-02,Bob Fine,skipped,skipped
MINNEAPOLIS W-11 P-01,Bob Fine,Jennifer Zielinski,"Robert M Schlosser ""Bob"""
MINNEAPOLIS W-13 P-08,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-13 P-03,Brad Bourn,Jennifer Zielinski,"Robert M Schlosser ""Bob"""
MINNEAPOLIS W-13 P-06,Bob Fine,skipped,skipped
MINNEAPOLIS W-8 P-02,Brad Bourn,Jennifer Zielinski,skipped
MINNEAPOLIS W-13 P-08,Jennifer Zielinski,Jennifer Zielinski,"Robert M Schlosser ""Bob"""
MINNEAPOLIS W-13 P-06,Brad Bourn,writein,skipped
MINNEAPOLIS W-13 P-05,Bob Fine,Brad Bourn,"Robert M Schlosser ""Bob"""
MINNEAPOLIS W-13 P-05,Bob Fine,Brad Bourn,Jennifer Zielinski
MINNEAPOLIS W-13 P-09,Bob Fine,Jennifer Zielinski,skipped
MINNEAPOLIS W-8 P-06,skipped,skipped,skipped
MINNEAPOLIS W-13 P-07,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-13 P-01,Bob Fine,Brad Bourn,Jennifer Zielinski
MINNEAPOLIS W-13 P-06,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-13 P-07,Brad Bourn,Jennifer Zielinski,"Robert M Schlosser ""Bob"""
MINNEAPOLIS W-13 P-02,Bob Fine,Brad Bourn,skipped
MINNEAPOLIS W-8 P-07,skipped,skipped,skipped
MINNEAPOLIS W-13 P-11,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-13 P-10,Brad Bourn,Jennifer Zielinski,skipped
MINNEAPOLIS W-13 P-11,skipped,skipped,skipped
MINNEAPOLIS W-13 P-10,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-01,skipped,skipped,skipped
MINNEAPOLIS W-10 P-05A,skipped,skipped,skipped
MINNEAPOLIS W-13 P-09,Bob Fine,skipped,skipped
MINNEAPOLIS W-11 P-01,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-8 P-07,Brad Bourn,skipped,skipped
MINNEAPOLIS W-11 P-03,skipped,skipped,skipped
MINNEAPOLIS W-11 P-03,Jennifer Zielinski,"Robert M Schlosser ""Bob""",Bob Fine
MINNEAPOLIS W-8 P-02,Brad Bourn,skipped,skipped
MINNEAPOLIS W-8 P-07,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-11 P-02,Bob Fine,Brad Bourn,skipped
MINNEAPOLIS W-13 P-13,Bob Fine,skipped,skipped
MINNEAPOLIS W-11 P-02,skipped,skipped,skipped
MINNEAPOLIS W-8 P-07,Bob Fine,skipped,skipped
MINNEAPOLIS W-8 P-07,skipped,skipped,skipped
MINNEAPOLIS W-8 P-01,Brad Bourn,skipped,skipped
MINNEAPOLIS W-8 P-02,Brad Bourn,skipped,skipped
MINNEAPOLIS W-10 P-06,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-01,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-13,Brad Bourn,skipped,skipped
MINNEAPOLIS W-11 P-01,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-11 P-03,Brad Bourn,"Robert M Schlosser ""Bob""",Bob Fine
MINNEAPOLIS W-13 P-06,Bob Fine,Brad Bourn,skipped
MINNEAPOLIS W-10 P-04,Bob Fine,Brad Bourn,skipped
MINNEAPOLIS W-8 P-07,skipped,skipped,skipped
MINNEAPOLIS W-8 P-07,Brad Bourn,Jennifer Zielinski,"Robert M Schlosser ""Bob"""
MINNEAPOLIS W-13 P-07,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-10,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-10,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-06,Bob Fine,Jennifer Zielinski,Brad Bourn
MINNEAPOLIS W-11 P-02,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-11 P-03,Brad Bourn,Bob Fine,Jennifer Zielinski
MINNEAPOLIS W-13 P-11,Bob Fine,skipped,skipped
MINNEAPOLIS W-13 P-09,Jennifer Zielinski,skipped,skipped
MINNEAPOLIS W-8 P-07,skipped,skipped,skipped
MINNEAPOLIS W-8 P-07,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-07,Bob Fine,skipped,skipped
MINNEAPOLIS W-10 P-04,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-04,Brad Bourn,skipped,skipped
MINNEAPOLIS W-8 P-06,Brad Bourn,skipped,skipped
MINNEAPOLIS W-11 P-01,Brad Bourn,Bob Fine,"Robert M Schlosser ""Bob"""
MINNEAPOLIS W-8 P-06,Brad Bourn,Jennifer Zielinski,skipped
MINNEAPOLIS W-13 P-06,Bob Fine,Brad Bourn,skipped
MINNEAPOLIS W-13 P-06,Brad Bourn,skipped,skipped
MINNEAPOLIS W-8 P-06,Brad Bourn,skipped,skipped
MINNEAPOLIS W-8 P-06,Bob Fine,skipped,skipped
MINNEAPOLIS W-11 P-03,Brad Bourn,Jennifer Zielinski,skipped
MINNEAPOLIS W-13 P-08,Bob Fine,Brad Bourn,skipped
MINNEAPOLIS W-13 P-09,Jennifer Zielinski,Bob Fine,"Robert M Schlosser ""Bob"""
MINNEAPOLIS W-13 P-07,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-06,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-04,skipped,skipped,skipped
MINNEAPOLIS W-11 P-01,Brad Bourn,skipped,skipped
MINNEAPOLIS W-8 P-07,Brad Bourn,skipped,skipped
MINNEAPOLIS W-10 P-06,skipped,skipped,skipped
MINNEAPOLIS W-10 P-04,Brad Bourn,Jennifer Zielinski,Bob Fine
MINNEAPOLIS W-13 P-03,Brad Bourn,writein,writein
MINNEAPOLIS W-8 P-06,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-11 P-03,Jennifer Zielinski,skipped,skipped
MINNEAPOLIS W-10 P-05A,Bob Fine,Jennifer Zielinski,Brad Bourn
MINNEAPOLIS W-10 P-04,skipped,skipped,skipped
MINNEAPOLIS W-13 P-02,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-10,Bob Fine,skipped,skipped
MINNEAPOLIS W-13 P-07,Bob Fine,skipped,skipped
MINNEAPOLIS W-13 P-13,skipped,skipped,skipped
MINNEAPOLIS W-13 P-07,Bob Fine,Jennifer Zielinski,Brad Bourn
MINNEAPOLIS W-10 P-06,Brad Bourn,Bob Fine,Jennifer Zielinski
MINNEAPOLIS W-13 P-09,Bob Fine,Brad Bourn,skipped
MINNEAPOLIS W-13 P-03,Bob Fine,skipped,skipped
MINNEAPOLIS W-11 P-01,Jennifer Zielinski,Brad Bourn,skipped
MINNEAPOLIS W-8 P-02,Bob Fine,Brad Bourn,Jennifer Zielinski
MINNEAPOLIS W-13 P-06,Brad Bourn,Jennifer Zielinski,Bob Fine
MINNEAPOLIS W-11 P-02,Brad Bourn,Bob Fine,Jennifer Zielinski
MINNEAPOLIS W-10 P-06,Brad Bourn,skipped,skipped
MINNEAPOLIS W-11 P-01,Brad Bourn,skipped,skipped
MINNEAPOLIS W-11 P-01,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-08,Bob Fine,Jennifer Zielinski,"Robert M Schlosser ""Bob"""
MINNEAPOLIS W-13 P-01,Bob Fine,Jennifer Zielinski,skipped
MINNEAPOLIS W-10 P-04,Brad Bourn,skipped,skipped
MINNEAPOLIS W-10 P-04,Brad Bourn,Jennifer Zielinski,skipped
MINNEAPOLIS W-11 P-03,"Robert M Schlosser ""Bob""",Bob Fine,Brad Bourn
MINNEAPOLIS W-11 P-02,Brad Bourn,Bob Fine,skipped
MINNEAPOLIS W-13 P-11,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-06,Bob Fine,"Robert M Schlosser ""Bob""",Jennifer Zielinski
MINNEAPOLIS W-13 P-07,Bob Fine,skipped,skipped
MINNEAPOLIS W-8 P-07,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-09,Brad Bourn,Jennifer Zielinski,skipped
MINNEAPOLIS W-13 P-10,Bob Fine,"Robert M Schlosser ""Bob""",skipped
MINNEAPOLIS W-13 P-07,Brad Bourn,skipped,skipped
MINNEAPOLIS W-13 P-07,Brad Bourn,skipped,skipped
