Precinct,rank1,rank2,rank3
MINNEAPOLIS W-9 P-09,Mohamoud Hassan,skipped,skipped
MINNEAPOLIS W-9 P-09,Mohamoud Hassan,skipped,skipped
MINNEAPOLIS W-9 P-09,Mohamoud Hassan,skipped,skipped
MINNEAPOLIS W-9 P-09,Mohamoud Hassan,skipped,skipped
MINNEAPOLIS W-9 P-09,Mohamoud Hassan,skipped,skipped
MINNEAPOLIS W-9 P-09,Mohamoud Hassan,skipped,skipped
MINNEAPOLIS W-9 P-09,Mohamoud Hassan,skipped,skipped
MINNEAPOLIS W-9 P-09,Mohamoud Hassan,skipped,skipped
MINNEAPOLIS W-9 P-09,Mohamoud Hassan,skipped,skipped
MINNEAPOLIS W-9 P-09,Mohamoud Hassan,skipped,skipped
MINNEAPOLIS W-9 P-09,Mohamoud Hassan,skipped,skipped
MINNEAPOLIS W-9 P-09,Mohamoud Hassan,skipped,skipped
MINNEAPOLIS W-9 P-09,Mohamoud Hassan,skipped,skipped
MINNEAPOLIS W-9 P-09,Mohamoud Hassan,skipped,skipped
MINNEAPOLIS W-9 P-09,Mohamoud Hassan,skipped,skipped
MINNEAPOLIS W-9 P-09,Mohamoud Hassan,skipped,skipped
MINNEAPOLIS W-9 P-09,Mohamoud Hassan,skipped,skipped
MINNEAPOLIS W-9 P-09,Mohamoud Hassan,skipped,skipped
MINNEAPOLIS W-9 P-09,Mohamoud Hassan,skipped,skipped
MINNEAPOLIS W-9 P-09,Mohamoud Hassan,skipped,skipped
MINNEAPOLIS W-9 P-09,Mohamoud Hassan,skipped,skipped
MINNEAPOLIS W-9 P-09,Mohamoud Hassan,skipped,skipped
MINNEAPOLIS W-9 P-09,AK Hassan,AK Hassan,AK Hassan
MINNEAPOLIS W-9 P-09,AK Hassan,AK Hassan,AK Hassan
MINNEAPOLIS W-9 P-09,AK Hassan,AK Hassan,AK Hassan
MINNEAPOLIS W-9 P-09,AK Hassan,AK Hassan,AK Hassan
MINNEAPOLIS W-9 P-09,AK Hassan,AK Hassan,AK Hassan
MINNEAPOLIS W-9 P-09,AK Hassan,AK Hassan,AK Hassan
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
MINNEAPOLIS W-9 P-09,skipped,skipped,skipped
