Precinct,rank1,rank2,rank3
MINNEAPOLIS W-5 P-05,Becka Thompson,Mike Shelton,skipped
MINNEAPOLIS W-5 P-05,Becka Thompson,Mike Shelton,skipped
MINNEAPOLIS W-5 P-05,Becka Thompson,Mike Shelton,skipped
MINNEAPOLIS W-5 P-05,Becka Thompson,Mike Shelton,skipped
MINNEAPOLIS W-5 P-05,Becka Thompson,Mike Shelton,skipped
MINNEAPOLIS W-5 P-05,Becka Thompson,Mike Shelton,skipped
MINNEAPOLIS W-5 P-05,Becka Thompson,Mike Shelton,skipped
MINNEAPOLIS W-5 P-05,Becka Thompson,Mike Shelton,skipped
MINNEAPOLIS W-5 P-05,Becka Thompson,Mike Shelton,skipped
MINNEAPOLIS W-5 P-05,Eric Moran,Mike Shelton,Becka Thompson
MINNEAPOLIS W-5 P-05,Eric Moran,Mike Shelton,Becka Thompson
MINNEAPOLIS W-5 P-05,Eric Moran,Mike Shelton,Becka Thompson
MINNEAPOLIS W-5 P-05,Eric Moran,Mike Shelton,Becka Thompson
MINNEAPOLIS W-5 P-05,Eric Moran,Mike Shelton,Becka Thompson
MINNEAPOLIS W-5 P-05,Eric Moran,Mike Shelton,Becka Thompson
MINNEAPOLIS W-5 P-05,Eric Moran,Mike Shelton,Becka Thompson
MINNEAPOLIS W-5 P-05,Eric Moran,Mike Shelton,Becka Thompson
MINNEAPOLIS W-5 P-05,Eric Moran,Mike Shelton,Becka Thompson
MINNEAPOLIS W-5 P-05,Eric Moran,Mike Shelton,Becka Thompson
MINNEAPOLIS W-5 P-05,Eric Moran,Mike Shelton,Becka Thompson
MINNEAPOLIS W-5 P-05,Eric Moran,Mike Shelton,Becka Thompson
MINNEAPOLIS W-5 P-05,Eric Moran,Mike Shelton,Becka Thompson
MINNEAPOLIS W-5 P-05,Eric Moran,Mike Shelton,Becka Thompson
